<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
LRCX,20161115,99.91999799999999,101.459999,99.16999799999999,101.120003,1996400
LRCX,20161114,97.800003,98.91999799999999,97.510002,98.510002,1769100
LRCX,20161111,95.82,97.639999,95.099998,97.489998,1693300
LRCX,20161110,98.129997,99.440002,94.889999,95.970001,2707300
LRCX,20161109,96.790001,98.239998,96.279999,98.010002,1964300
LRCX,20161108,98.510002,99.650002,97.910004,99.120003,1503100
LRCX,20161107,96.480003,98.58000200000001,96.459999,98.510002,3657100
LRCX,20161104,94.349998,96.16999799999999,93.690002,95.0,2226900
LRCX,20161103,95.870003,95.940002,94.940002,95.239998,2343800
LRCX,20161102,95.870003,96.629997,94.800003,95.849998,2846100
LRCX,20161101,97.160004,97.43,95.089996,96.050003,2533800
LRCX,20161031,96.910004,97.410004,96.360001,96.860001,2006800
LRCX,20161028,97.220001,97.800003,96.019997,96.209999,1603700
LRCX,20161027,98.589996,98.900002,96.519997,96.699997,2327800
LRCX,20161026,97.730003,98.68,97.389999,97.870003,2355600
LRCX,20161025,99.139999,99.16999799999999,97.910004,98.08000200000001,2217700
LRCX,20161024,98.449997,99.300003,98.010002,98.980003,2064700
LRCX,20161021,96.760002,99.129997,96.739998,97.610001,4329900
LRCX,20161020,100.0,100.959999,95.870003,96.940002,7921300
LRCX,20161019,99.66999799999999,100.18,99.199997,99.720001,4282400
LRCX,20161018,99.050003,99.690002,98.550003,99.470001,3465200
LRCX,20161017,97.889999,99.110001,97.480003,98.059998,2206900
LRCX,20161014,98.32,99.160004,98.129997,98.220001,2680900
LRCX,20161013,98.120003,98.120003,96.910004,97.730003,3451400
LRCX,20161012,98.190002,99.089996,96.809998,98.68,3960800
LRCX,20161011,101.610001,101.639999,98.639999,99.589996,4912600
LRCX,20161010,100.970001,102.440002,100.610001,102.150002,3484500
LRCX,20161007,99.860001,100.889999,98.82,100.349998,5797100
LRCX,20161006,98.849998,100.470001,97.82,100.190002,10274600
LRCX,20161005,94.709999,96.5,94.400002,96.16999799999999,3194300
LRCX,20161004,94.559998,95.400002,94.260002,94.83000200000001,2687000
LRCX,20161003,94.150002,95.33000200000001,94.08000200000001,94.589996,2012500
LRCX,20160930,93.66999799999999,95.389999,93.41999799999999,94.709999,3194300
LRCX,20160929,92.900002,94.099998,92.480003,93.230003,3104000
LRCX,20160928,92.720001,93.199997,92.18,92.940002,1227500
LRCX,20160927,90.559998,92.639999,90.559998,92.510002,1680100
LRCX,20160926,91.510002,91.739998,90.970001,91.410004,1702700
LRCX,20160923,92.43,92.949997,91.720001,91.779999,1724600
LRCX,20160922,93.58000200000001,93.879997,92.089996,92.690002,2650500
LRCX,20160921,92.519997,93.309998,91.800003,93.290001,1846500
LRCX,20160920,92.650002,93.110001,91.720001,91.980003,1869800
LRCX,20160919,93.779999,93.849998,91.900002,92.150002,1609100
LRCX,20160916,93.18,93.839996,91.940002,92.959999,2091000
LRCX,20160915,91.57,93.699997,91.57,93.360001,2642600
LRCX,20160914,91.779999,92.139999,90.93,91.57,2595300
LRCX,20160913,92.459999,93.16999799999999,90.989998,91.540001,2368900
LRCX,20160912,89.849998,93.589996,89.800003,93.269997,1855700
LRCX,20160909,92.639999,92.91999799999999,91.050003,91.18,2696500
LRCX,20160908,93.5,94.239998,93.160004,93.57,1196000
